Age,Annual Balance (Euros),Last Contact Duration (sec),Number of Contacts Performed for This Campaign,Number of Contacts Performed for Previous Campaign,Days Past Since Contacted by Last Campaign
49,3466,161,3,2,410
43,9,89,5,1,401
36,3064,240,3,4,107
35,992,79,1,3,114
26,620,76,1,2,96
43,1696,257,1,3,474
39,385,143,1,1,93
21,1596,115,1,2,93
57,854,700,4,1,92
36,40,259,3,4,475
36,539,398,2,1,477
29,590,81,1,1,94
43,1612,119,2,3,95
31,660,207,3,2,478
32,31,125,2,1,95
36,289,67,3,4,280
34,2583,64,1,2,95
42,1535,121,1,2,108
32,937,90,1,2,94
34,612,81,1,1,95
39,93,65,1,5,95
28,207,129,1,4,94
32,636,370,1,4,116
55,1872,155,2,8,93
36,490,207,8,1,98
34,0,79,5,7,110
34,747,72,2,1,98
33,2340,65,5,3,97
34,980,69,2,4,54
36,953,102,2,3,101
27,118,160,3,1,98
45,4119,473,2,1,283
55,1504,186,3,2,101
41,285,90,4,4,147
52,2087,267,1,1,474
53,6649,106,1,1,55
49,5689,470,1,3,97
37,7620,164,3,3,98
30,201,219,1,12,157
43,7702,108,7,3,102
39,119,265,2,4,476
43,970,513,13,11,288
48,17964,120,1,5,98
51,2635,181,1,2,98
35,183,516,2,2,130
48,568,378,2,1,386
38,1198,91,3,1,213
44,764,232,1,1,213
32,1270,420,1,3,15
46,2552,260,1,8,94
71,653,471,1,1,189
44,2033,444,1,1,99
37,0,144,2,6,463
36,86,104,1,3,380
31,3343,365,1,1,94
51,994,268,1,3,98
27,313,167,1,3,93
45,40,81,1,1,213
40,7968,733,1,1,93
55,2587,328,2,2,94
35,2789,256,2,1,94
57,6468,730,1,4,157
31,882,293,1,1,93
26,1231,230,1,7,93
33,5969,156,2,8,127
32,2667,171,2,2,186
48,606,589,3,6,186
36,1354,281,3,2,97
55,602,350,1,5,98
62,367,221,1,5,189
33,1390,92,1,4,84
24,0,89,1,2,103
52,0,211,1,1,294
53,1182,82,1,1,293
36,52,351,1,6,95
31,924,231,1,3,94
45,1411,800,2,3,102
57,772,201,1,1,292
50,6574,495,1,3,92
31,155,214,1,1,99
43,2160,261,1,1,98
33,409,165,1,4,97
56,230,167,1,2,92
25,1871,260,1,1,96
32,2915,519,1,2,131
28,1633,233,1,1,95
39,1587,108,2,3,98
58,1227,400,2,1,95
37,4321,421,2,1,95
79,723,276,1,3,79
40,732,71,1,4,139
30,147,234,1,1,100
50,3764,214,2,4,99
35,114,105,3,4,97
31,12569,344,1,1,295
45,129,307,2,1,191
34,158,278,2,4,132
28,261,259,2,4,98
32,889,185,1,5,99
23,1235,122,2,3,91
38,0,260,3,3,95
58,4605,339,1,1,38
36,495,91,1,5,37
63,2747,113,1,1,80
46,640,108,2,2,129
47,1013,170,1,3,92
48,2351,150,1,3,105
46,273,1962,1,3,105
57,3109,107,2,2,105
50,388,173,2,4,99
34,262,89,2,1,106
31,64,208,1,2,105
50,810,91,1,3,103
54,1664,106,1,3,105
48,2,103,1,2,91
26,362,925,1,2,104
33,1323,109,2,1,106
50,1612,188,1,4,92
40,1293,1702,3,2,105
31,3384,153,1,2,104
29,874,152,1,1,103
40,1819,169,1,2,103
34,417,99,2,3,135
25,553,113,4,1,479
41,595,22,1,2,107
25,808,267,2,2,114
59,883,1551,1,3,31
83,425,773,1,2,92
43,2367,83,1,3,113
46,5993,159,1,1,112
45,10252,173,1,2,141
37,1000,239,1,2,99
27,20585,299,1,1,100
32,530,91,1,2,114
37,539,168,2,1,45
65,1176,64,1,2,50
23,4545,242,1,1,114
20,1191,500,2,1,228
57,10583,341,3,3,98
29,14,87,1,1,120
50,0,159,1,2,120
36,1145,75,1,2,239
40,1451,117,1,1,121
45,4068,314,1,1,41
53,109,431,1,1,120
35,611,305,2,1,121
35,2088,86,1,4,50
26,132,194,1,1,119
41,3426,302,1,5,119
36,202,237,1,2,122
48,3842,168,1,2,122
54,2081,395,2,1,108
34,1363,258,1,1,93
59,4152,67,6,13,141
37,189,238,1,2,107
44,1495,82,1,1,142
37,1027,137,1,1,119
54,1464,194,2,1,94
54,8295,849,2,1,119
26,170,160,2,1,109
24,4126,83,5,2,191
34,318,88,1,3,169
34,0,89,1,1,133
57,415,408,1,2,410
26,125,63,1,7,63
57,854,480,1,5,40
37,604,371,1,1,495
33,5437,201,1,3,58
37,2061,867,2,4,107
25,1185,290,1,1,114
30,873,301,1,2,216
31,9629,180,2,2,96
29,172,271,2,16,187
55,377,403,1,1,183
61,1389,92,3,1,183
36,4596,234,2,2,175
58,565,153,1,1,93
33,1781,611,2,1,183
27,3415,266,3,1,184
60,12039,261,1,1,187
32,2983,268,1,1,102
56,12,511,3,1,187
83,6236,766,1,3,62
56,1137,99,3,1,102
55,9329,135,1,2,113
55,538,306,1,2,67
59,0,78,1,1,216
46,1187,92,1,1,327
39,385,242,1,2,48
31,581,845,1,6,152
35,2646,221,1,1,182
61,6,210,1,2,182
45,886,75,2,1,42
43,1188,1573,2,2,139
62,1495,896,1,2,57
36,592,204,2,5,99
32,2688,216,1,1,57
63,1084,201,1,1,183
23,107,84,1,1,183
46,37378,146,1,1,518
38,127,113,1,2,50
34,144,104,1,19,85
58,4198,441,5,5,246
30,0,86,1,3,140
34,35,76,1,2,69
47,2149,241,1,2,183
30,536,244,1,1,105
19,103,96,2,2,97
54,1311,485,3,3,184
62,1528,134,2,1,184
43,2557,166,3,5,183
40,79,570,1,1,135
57,1318,115,1,2,185
75,3771,186,1,1,183
77,0,847,1,1,60
31,6138,154,2,5,119
50,469,170,1,1,183
72,2850,131,2,1,241
31,523,141,1,4,126
65,493,622,1,1,182
33,8514,165,1,1,57
73,519,434,1,1,57
40,2266,447,1,5,147
44,643,324,1,3,143
45,0,283,1,3,165
62,1515,131,1,2,187
76,1411,233,2,3,187
56,111,79,1,1,186
30,261,233,1,20,137
54,831,208,3,3,109
60,0,1745,3,3,62
61,1541,59,1,3,104
31,8304,164,1,1,183
39,1802,92,1,1,336
22,3472,332,1,3,183
39,206,148,2,2,195
43,69,304,1,1,337
65,571,349,1,2,183
54,3994,595,2,2,187
28,80,676,2,2,146
61,267,192,3,1,184
53,2581,828,1,1,189
38,0,576,1,4,183
69,473,110,1,2,106
27,1134,825,1,4,183
55,309,467,2,1,184
33,6807,512,2,1,184
33,658,307,1,1,208
33,79,249,2,2,335
30,411,127,3,2,149
68,2144,277,1,2,184
42,527,181,1,1,185
41,431,133,1,2,107
35,1750,422,1,4,175
29,123,247,1,3,184
27,3792,504,1,2,183
82,8603,306,3,1,107
55,0,102,1,1,106
76,2991,344,1,1,183
38,4174,336,2,5,184
60,10925,270,3,1,185
33,2411,130,1,1,161
43,11115,476,1,2,74
73,796,427,1,2,182
39,0,622,1,1,184
57,6900,255,4,2,185
33,5878,438,1,2,430
77,1780,221,2,3,183
35,183,281,1,4,52
59,3648,257,2,3,126
40,1108,61,2,3,76
40,0,87,2,2,200
44,36,127,2,3,153
59,1425,151,2,3,77
52,722,99,2,3,185
73,542,355,1,5,180
55,865,96,1,3,111
41,942,143,1,1,188
58,3027,120,1,1,186
46,311,96,1,1,158
28,0,96,1,1,267
38,0,297,1,3,75
30,398,102,1,3,180
52,992,424,1,1,515
59,0,376,1,3,81
71,383,327,2,3,183
38,70,255,3,1,148
34,18,114,1,1,180
60,182,83,2,3,76
29,1599,95,1,2,112
61,89,154,1,2,181
27,390,190,1,1,82
30,914,524,3,1,272
57,2326,207,1,1,194
61,272,318,1,1,269
30,697,215,3,5,80
66,1948,106,2,2,269
53,395,136,1,1,148
34,920,250,1,5,342
47,3663,424,2,3,213
62,115,157,4,3,183
30,853,279,1,1,148
56,1947,631,2,3,149
30,53,155,1,1,184
60,3401,294,1,1,270
46,3512,175,1,1,197
33,3301,131,2,2,171
37,1506,101,3,3,80
20,0,69,4,4,182
38,732,53,2,1,161
70,3020,358,2,1,186
29,3054,204,1,7,186
54,473,182,1,1,81
35,5462,188,1,1,186
26,906,109,1,1,160
35,580,180,2,1,171
72,1285,179,5,2,98
55,2037,209,2,1,273
44,1818,88,2,2,83
48,0,1233,1,2,351
36,62,566,1,7,182
55,0,222,3,3,187
36,506,217,1,2,70
64,2352,181,4,7,183
40,1508,177,2,3,85
27,1720,284,2,1,273
38,2812,322,1,1,187
36,7222,116,4,1,154
31,1812,138,1,2,84
29,2,85,1,1,142
34,1778,358,1,2,162
61,6016,199,1,3,275
31,220,257,2,2,184
60,6573,126,2,2,87
24,556,368,2,2,80
33,1699,178,2,1,94
33,6699,425,1,1,462
33,1536,262,1,2,94
32,935,165,1,7,91
60,10861,98,1,2,91
34,2374,161,1,2,209
35,1228,696,2,12,88
53,1356,371,2,4,96
24,125,263,1,1,90
32,1527,270,1,2,144
38,3141,347,4,2,189
47,3940,171,2,5,96
45,160,182,2,1,194
40,0,147,1,8,96
31,2666,318,2,6,97
44,1534,95,1,3,95
61,2557,89,1,4,91
67,405,344,2,2,95
33,22867,266,2,3,92
57,2155,144,3,2,91
71,1311,301,2,1,91
52,94,293,3,10,190
48,201,594,1,1,91
33,1388,280,1,2,89
27,4590,131,4,3,89
52,1785,133,3,1,89
35,612,158,1,1,195
35,5007,133,1,3,90
23,598,406,1,1,195
26,943,166,1,1,195
51,938,98,2,3,97
33,1076,131,1,5,96
35,0,229,2,3,96
53,1624,166,3,7,97
44,1070,172,1,5,91
53,4401,241,1,1,92
21,123,513,1,1,91
36,3623,71,1,1,378
31,533,90,3,6,93
42,994,227,3,6,93
28,805,116,5,2,170
27,168,123,1,1,196
33,386,253,1,4,92
65,1370,177,1,1,92
30,2424,110,1,1,279
51,346,134,2,3,192
32,1331,126,1,5,92
47,4693,89,1,3,97
48,1230,169,1,2,196
61,1720,150,1,5,463
36,2971,247,1,8,97
27,5291,192,2,2,92
39,64,366,2,1,98
43,3403,707,2,2,97
33,133,627,2,1,192
50,3608,176,2,2,197
50,2794,350,5,2,93
43,1854,131,2,1,197
45,1529,181,1,1,197
76,3324,122,1,3,92
63,5112,2184,2,3,95
77,2590,212,3,12,277
71,2600,186,2,1,98
46,2671,180,3,4,91
39,260,226,1,4,94
37,115,122,4,5,101
18,608,210,1,1,93
58,462,495,1,1,93
61,1471,632,1,2,93
44,14,167,1,1,92
67,1146,259,1,2,92
31,181,239,2,2,93
36,376,193,1,1,92
56,9367,271,2,4,92
74,0,332,2,2,92
33,271,182,2,2,91
24,382,256,2,3,92
33,2465,139,2,1,95
34,2599,95,1,2,200
33,920,130,1,2,95
34,129,295,1,2,200
58,169,301,1,3,94
61,209,1011,1,4,94
37,1276,146,1,2,94
27,535,183,1,1,94
37,2987,135,8,1,96
31,270,176,1,2,200
41,487,163,1,1,200
22,1925,84,1,1,196
34,86,244,2,1,178
33,71,136,1,1,287
42,10072,137,3,1,208
26,203,104,1,1,196
54,0,986,1,8,94
37,197,175,1,1,200
33,263,79,4,3,94
43,3186,380,1,1,88
49,972,104,3,2,175
35,3160,445,2,1,95
24,272,105,2,2,94
75,6027,1248,2,2,94
52,583,209,1,2,91
62,10373,140,3,3,97
55,0,134,2,1,91
29,1374,309,3,4,208
52,2337,190,3,11,91
20,215,325,1,5,95
42,5310,968,2,4,97
27,11862,285,2,7,97
30,265,295,1,3,93
23,922,242,1,8,85
53,65,99,1,2,92
38,3576,349,2,1,183
28,1925,487,1,2,97
38,6728,232,1,4,96
72,1129,208,1,1,91
29,265,414,1,1,184
34,69,296,1,2,205
27,567,238,2,1,184
52,1797,92,2,1,99
77,680,341,4,3,94
35,204,110,3,1,189
58,3399,1628,2,8,188
46,31630,448,2,1,214
25,304,152,1,2,188
45,2033,123,1,4,186
22,691,260,5,1,103
33,8023,107,1,3,105
28,520,113,1,1,168
60,4,415,1,5,190
29,1165,244,2,1,184
36,4708,284,1,1,171
68,2820,154,1,2,97
48,1147,155,1,3,120
25,1189,110,1,1,183
28,339,350,1,1,182
29,19,274,1,1,230
49,5887,439,3,5,185
42,2913,127,2,2,184
43,11891,821,5,1,242
28,78,232,3,2,310
44,733,360,2,5,105
58,2223,1139,2,1,114
38,5000,720,5,5,536
31,389,69,1,2,185
42,684,163,1,1,186
42,144,143,1,3,283
32,8626,200,1,2,196
29,314,415,2,4,116
38,1190,347,4,5,186
29,2489,1002,3,2,283
42,254,288,7,4,183
37,0,179,1,1,190
27,1623,161,1,1,190
34,294,265,1,3,184
79,8304,456,2,9,275
57,698,135,3,2,191
41,1077,207,3,2,387
22,1258,182,1,1,156
58,256,422,1,3,188
54,380,501,1,2,188
45,1788,364,1,4,191
40,3797,263,1,2,195
30,2326,420,1,2,175
41,10346,352,1,3,182
35,3402,269,1,2,194
36,925,321,3,4,189
64,67,86,2,1,111
53,1796,476,1,1,193
26,12,72,4,6,186
29,572,314,1,1,195
43,775,325,1,2,124
57,5313,283,2,1,196
46,0,155,1,2,199
47,0,97,1,2,231
56,393,103,1,1,206
34,1337,330,2,3,127
57,2986,222,2,1,231
52,195,110,2,3,205
32,35,324,3,3,126
31,596,184,6,2,196
27,538,170,4,2,197
29,399,454,6,1,199
50,5108,406,1,2,182
57,1841,127,2,1,196
60,294,104,5,4,198
44,1025,116,2,1,202
50,320,294,3,4,315
44,132,103,5,4,124
39,804,193,8,1,203
32,131,322,1,1,189
59,2074,467,1,2,186
68,1443,2062,2,1,257
40,782,94,5,17,202
34,303,94,3,6,200
64,661,367,2,2,294
49,905,385,7,2,131
60,3735,190,1,9,188
72,4657,305,3,5,309
30,5,282,1,1,203
