Age Group,Type of Job,Marital Status,Education Level,Credit in Default,Annual Balance (Euros),Loan (Housing / Personal),Last Contact Duration (sec),Contacts Performed (current),Contacts Performed (previous),Month Since Last Contacted,Previous Outcomes,Predicted Subscription (current)
36 - 45,management,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,self-employed,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,entrepreneur,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,married,secondary,no,0 - 10k,H-,2 - 3 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,entrepreneur,married,primary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,admin.,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,services,divorced,secondary,no,Negative Balances,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,single,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,11 - 20,6 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,services,married,secondary,no,Negative Balances,H-,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
36 - 45,self-employed,single,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,self-employed,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,self-employed,married,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
36 - 45,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,single,tertiary,no,Negative Balances,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,services,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,services,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,technician,married,tertiary,no,10k - 20k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,services,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,single,secondary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,retired,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,11 - 20,6 months,failure,no
26 - 35,management,married,secondary,no,0 - 10k,HP,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,admin.,married,secondary,no,0 - 10k,HP,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,married,secondary,no,Negative Balances,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,blue-collar,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,technician,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,admin.,single,secondary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,services,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,divorced,secondary,no,Negative Balances,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,management,divorced,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,admin.,divorced,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,services,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,retired,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,blue-collar,married,primary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,technician,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,4 - 6,1 - 10,6 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,11 - 20,6 months,failure,no
26 - 35,admin.,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,self-employed,married,primary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,technician,married,secondary,no,Negative Balances,HP,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,services,married,secondary,no,0 - 10k,H-,0 - 1 hours,4 - 6,11 - 20,6 months,failure,no
36 - 45,entrepreneur,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,self-employed,married,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,blue-collar,divorced,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,admin.,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,services,married,tertiary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,6 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,success,no
36 - 45,technician,married,secondary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,services,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,unemployed,married,secondary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,6 months,failure,no
26 - 35,management,married,tertiary,no,Negative Balances,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
36 - 45,management,married,tertiary,no,10k - 20k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,retired,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,technician,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
26 - 35,admin.,single,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,entrepreneur,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,self-employed,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,self-employed,married,secondary,no,Negative Balances,-P,2 - 3 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,divorced,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,success,yes
36 - 45,management,married,tertiary,no,10k - 20k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,divorced,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,unemployed,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,self-employed,married,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,blue-collar,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,single,secondary,yes,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,self-employed,married,tertiary,no,0 - 10k,--,3 - 4 hours,1 - 3,1 - 10,6 months,failure,yes
36 - 45,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,retired,married,tertiary,no,0 - 10k,-P,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,technician,divorced,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,student,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,self-employed,single,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,self-employed,married,tertiary,no,Negative Balances,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,housemaid,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
36 - 45,services,married,primary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,services,married,unknown,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
56 - 65,housemaid,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,single,secondary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,success,no
56 - 65,blue-collar,divorced,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,self-employed,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,housemaid,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,unemployed,married,secondary,no,Negative Balances,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,technician,divorced,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,single,secondary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
56 - 65,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,blue-collar,married,secondary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,blue-collar,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,self-employed,divorced,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,blue-collar,married,secondary,no,Negative Balances,HP,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,retired,married,secondary,no,30k - 40k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,entrepreneur,married,secondary,no,0 - 10k,HP,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
36 - 45,services,divorced,tertiary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,admin.,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,HP,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,married,primary,no,0 - 10k,HP,2 - 3 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,retired,married,secondary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,entrepreneur,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,married,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,retired,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,unemployed,divorced,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,success,yes
36 - 45,self-employed,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,self-employed,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,unemployed,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,single,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,retired,married,primary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,housemaid,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,entrepreneur,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,self-employed,married,tertiary,no,10k - 20k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,self-employed,divorced,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,blue-collar,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,admin.,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,management,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,services,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,married,tertiary,no,0 - 10k,HP,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,admin.,married,secondary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,admin.,single,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,management,married,secondary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,married,primary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,admin.,married,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,success,no
46 - 55,admin.,married,secondary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,unknown,divorced,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,admin.,divorced,secondary,no,Negative Balances,-P,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,blue-collar,single,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,admin.,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
46 - 55,management,married,tertiary,no,Negative Balances,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,retired,divorced,primary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,yes
46 - 55,retired,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,blue-collar,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,married,tertiary,no,10k - 20k,H-,0 - 1 hours,4 - 6,1 - 10,6 months,failure,no
36 - 45,management,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,blue-collar,married,tertiary,no,0 - 10k,--,3 - 4 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,technician,married,unknown,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,divorced,tertiary,no,0 - 10k,H-,3 - 4 hours,4 - 6,1 - 10,6 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,H-,3 - 4 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,entrepreneur,married,primary,no,Negative Balances,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,4 - 6,1 - 10,6 months,failure,no
36 - 45,management,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,self-employed,married,primary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,6 months,failure,no
36 - 45,management,divorced,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
36 - 45,housemaid,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,services,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,--,3 - 4 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,blue-collar,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,married,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,success,yes
26 - 35,management,married,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,services,married,primary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,entrepreneur,married,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,single,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
36 - 45,technician,married,secondary,no,0 - 10k,HP,1 - 2 hours,4 - 6,1 - 10,6 months,failure,no
46 - 55,entrepreneur,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,entrepreneur,married,tertiary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
26 - 35,management,married,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
36 - 45,technician,married,tertiary,no,Negative Balances,HP,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
26 - 35,technician,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,student,single,unknown,no,0 - 10k,--,0 - 1 hours,4 - 6,1 - 10,6 months,failure,no
26 - 35,management,divorced,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,success,no
26 - 35,technician,married,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
26 - 35,admin.,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,self-employed,married,secondary,no,10k - 20k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,single,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,entrepreneur,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,self-employed,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,married,primary,no,0 - 10k,HP,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,admin.,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,services,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,management,married,primary,yes,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,technician,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
